<sos>우리 동생<sos>	우리 동생
<sos>그래도 좀<sos>	그래도 조심
<sos>예를 들어<sos>	예를 들어
<sos>빗질은<sos>	빗질은 
<sos>그래서 장송<sos>	그래서 자취한
<sos>지금이야 삼 개<sos>	지금이야 삼 개
<sos>어떻게 공원<sos>	어떻게 공을 
<sos>대표님도<sos>	대표님도 
<sos>그래서 오늘<sos>	그래서 오늘 
<sos>그래도 여전히 ㅇ<sos>	그래도 여전히 
<sos>맨날 사먹는<sos>	맨날 사먹기도
<sos>난 물을 끄고<sos>	난 물이 끓으
<sos>그러게<sos>	그러게
<sos>난 당기<sos>	난 당근
<sos>아니 뭐 중간<sos>	아니 뭐 중간
<sos>와, 나 좋아<sos>	와, 나 벼룩
<sos>그거<sos>	그건 
<sos>그런 걸 하면 혈액ㅅ<sos>	그런 걸 하면 혈액
<sos>장르<sos>	장난 
<sos>뭐 먹<sos>	뭐 맛
<sos>한번 먹을만 해<sos>	한번 먹을만큼
<sos>그러면<sos>	그러네
<sos>한국 다 발은 던ㄱ<sos>	현금 꽃다발은 본
<sos>잘 못돼<sos>	잘못된 
<sos>그리고 아니<sos>	그리고 마지
<sos>맞아<sos>	맞아
<sos>아니<sos>	아니 
<sos>진한 바니<sos>	지난번 동
<sos>숙수로 알았는데<sos>	쑥스러워하실 줄 
<sos>얼마 전에도 카페에<sos>	얼마 전에도 카페에 
<sos>그러니까~ 애들이 많<sos>	그러니까~ 애들이 학
<sos>난 동년<sos>	난 동남
<sos>그<sos>	흐
<sos>파어노<sos>	파업을
<sos>첫 입시 면접<sos>	첫 입시 면접 
<sos>막걸리는 돌려<sos>	막걸리는 내가 
<sos>그렇게<sos>	그렇겠
<sos>그렇겠다 사체드<sos>	그렇겠다 사체들
<sos>그렇긴 한데 서<sos>	그렇긴 한데 서
<sos>응<sos>	응 
<sos>그렇게<sos>	그렇지
<sos>근데 왜 두 번 마<sos>	근데 왜 애들은 
<sos>와, 그렇지<sos>	어 그렇지 
<sos>가기<sos>	가격
<sos>맞아 그 웹툰 앱으로 범<sos>	맞아, 그 웹툰 앱으로 범
<sos>글쎄<sos>	글쎄, 
<sos>그렇게<sos>	그때 알
<sos>아, 있<sos>	아, 이
<sos>바로<sos>	바로 
<sos>인간이<sos>	인간이 
<sos>뭐라기<sos>	돈 들
<sos>가방에 달려있던<sos>	가방에 달려있던 
<sos>조개랑 기타 된다<sos><sos>	조개랑 기타 등등 
<sos>하긴 주면<sos>	하긴 요즘
<sos>청원이 인대<sos>	청년들 일자
<sos>요즘 사람<sos>	요즘 사람
<sos>맞아<sos>	맞아 
<sos>무서<sos>	무섭
<sos>무슨<sos>	무슨 
<sos>알긴 하는 ㄱ<sos>	알긴 하는데 
<sos>무슨 꿈<sos>	무슨 꿈 
<sos>다른 나라에ㄴ<sos>	다른 나라에
<sos>어디 가서 맞<sos>	어디 가서 맞
<sos>글쎄, 나는<sos>	글쎄, 나는 
<sos>사람들이 없<sos>	사람들이 양
<sos>어<sos>	어, 
<sos>우리 나라에 ㄱ<sos>	우리 나라에 그
<sos>상투장<sos>	상투잡
<sos>작극에 맨날피<sos>	자꾸 그 유튜브에 
<sos>저혈당 대형은 어떻<sos>	저혈당 때문에 어떻게
<sos>오메가쓰리 정도<sos>	오메가쓰리 정도
<sos>시대의 할을입니나 주<sos>	시대의 흐름이나 중요
<sos>맛있고 건강하잖아ㅇ<sos>	맛있고 건강하잖아요
<sos>그래서 내가 병원비적<sos>	그래서 내가 병원비적
<sos>목도는 어미야<sos>	목돈을 얼마
<sos>지금 그냥 우는<sos>	지금 그냥 애기 
<sos>또 망가지는 거야<sos>	또 망가지는 걸 내
<sos>약간 애플이야<sos>	약간의 차이가 
<sos>나 오랜만<sos>	나 오랜만
<sos>안 되겠다는 거야<sos>	안 되겠다는 거야 
<sos>이제 영어<sos>	이제 연금 
<sos>그래도 하여 됐다고<sos><sos>	그래도 하여튼 그거래
<sos>한정식이라 생각ㅎ<sos>	한정식이라 생각해
<sos>많이 보긴 왜냐면<sos>	많이 보게 되죠 그
<sos>그러니까 어떡해야 될<sos>	그러니까 어떻게 해야 
<sos>그런 것도<sos>	그런 것도 
<sos>그러니까 계난하고<sos>	그러니까 다들 배 나
<sos>일주일 한<sos>	일주일에 두
<sos>그런것들을 키우면<sos>	그런것들을 키우면
<sos>가보기는 해야 할 이ㅇ<sos>	가보기는 해야겠다 옛
<sos>달달 부르기<sos>	달달 볶고 이
<sos>나중엔 항상 모든<sos>	나중엔 항상 모든 
<sos>근데 그런 맛이 나ㅇ<sos>	근데 그런 맛이 나이
<sos>내가 생각해<sos>	내가 생각하
<sos>저게 일 년애 완전<sos>	저게 일 년까지 가고 
<sos>개인적으론 도심하<sos>	개인적으론 득인지
<sos>그때는 하는 사주<sos>	그때는 한 다섯 포
<sos>그래서 만나게 되는<sos>	그래서 만두를 더 안
<sos>근데 갈 때 맞아<sos>	근데 갈 때마다 새
<sos>유튜브<sos>	유튜브
<sos>그러니까 그거<sos>	그러니까 그 부
<sos>살찌우고 어떻게 해<sos>	살찌우고 어떻게 해
<sos>그래서 그게 상징이<sos>	그래서 그게 리스본의
<sos>이런 식으로<sos>	이런 식으로 
<sos>이게 그렇게<sos>	이게 그 일유
<sos>온 패단<sos>	응 배고
<sos>대신 사실 어떤<sos>	대신 사실 잘 못
<sos>그 자리<sos>	근데 갔
<sos>이런 거 어디서<sos>	이런거 엄청 많
<sos>근데 인지<sos>	근데 인제 
<sos>뭐 이야기<sos>	뭐 이야기
<sos>그거 애들<sos>	굶고 그리
<sos>연금 둘이 받고 모기지론<sos>	연금 둘이 받고 모기지론 
<sos>쪼금<sos>	얘는 
<sos>한 번<sos>	보게 돼 
<sos>내일 보면<sos>	내 옆에 주
<sos>그런 생각도 들고<sos>	그런 생각도 들고 
<sos>그 나라무는 게 진짜 <sos>	그 나라 문화를 내가 
<sos>그 드라마 수개쓰도 옷<sos>	그 드라마 속에서도 옷
<sos>지금 어떤<sos>	지금 어쩌다
<sos>비행기는<sos>	비행기는 
<sos>난 우리 옆에 극장드<sos>	난 우리 옆에 극장들
<sos>맞아요<sos>	맞아요 
<sos>이 철소<sos>	이 철수
<sos>너 여행<sos>	너 여행
<sos>내가 이<sos>	내가 이
<sos>생식은 더 그렇게 하ㅅ<sos>	생식은 소화가 더디대 
<sos>기분은 좋기는 하더라<sos>	기분은 좋기는 하더라
<sos>그거 되게 특이어고 재ㅁ<sos>	그거 되게 특이하고 재밌
<sos>또 그 아들 결혼식도 <sos>	또 그 아들 결혼식도 
<sos>옛날에 이제는<sos>	옛날에는 짝꿍
<sos>이거 봤어 진짜 ㅁ<sos>	이거 먹어 봤어요 
<sos>말도 안<sos>	말도 안 
<sos>디엘 이빨이 벌ㅆ<sos>	뒤에 이빨이 벌써 
<sos>우리 집 이혼심<sos><sos>	우리 집 일층에 
<sos>태권도 어떻게 와<sos>	태권도 배운지 얼
<sos>바람이 너무 세게<sos>	바람이 너무 세게 
<sos>제 취소돼<sos>	제 칫솔이
<sos>분처 소리<sos>	붕붕 자동
<sos>아니<sos>	알았
<sos>생일<sos>	오늘
<sos>줌<sos>	아빠
<sos>아직<sos>	아줌
<sos>불<sos>	불
<sos>이<sos>	이
<sos>유치원에서 꼭 칠원 운동 있어<sos>	유치원에서 쿠키 만든 적 있어
<sos>있<sos>	안
<sos>저는 이렇게 못<sos>	저는 이단 뛰기
<sos>청소를 안 하고<sos>	형석이는 청소
<sos>민준이는<sos>	민준이가 
<sos>소미는 부식<sos>	소미는 빨대 
<sos>시장에 가면 생<sos>	시장에 가면 생
<sos>이 안 먹을래<sos>	이 아파서 안 
<sos>오입만 품<sos>	오이만 빼고 
<sos>하나 보자<sos>	할아버지 
<sos>가방은<sos>	가방을 
<sos>아니야 선생님 버리<sos>	아니야 선생님이 앞
<sos>내거<sos>	늙어
<sos>거울<sos>	거울 
<sos>친구들<sos>	친구들
<sos>커튼이<sos>	커튼에
<sos>일래 닦기 할 깃으<sos>	술래잡기 하기 싫어 
<sos>방과<sos>	밤도 
<sos>공원에 가서 연<sos>	공원에 가서 연
<sos>오늘 바이올린<sos>	오늘 바이올린 
<sos>우리 아빠가 도마<sos>	우리 아빠가 방귀
<sos>컴퓨터 쓰려면 <sos>	컴퓨터 쓰려면 
<sos>몰라<sos>	몰라 
<sos>이건 아빠는 비<sos>	이건 아빠랑 나
<sos>잘 하는 거 영ㅅ<sos>	자라는 얼굴이 
<sos>운동하다<sos>	운동화가 
<sos>야말은 없는<sos>	양말 하나 없
<sos>선생님이 나<sos>	선생님이 나 
<sos>엄마 있다<sos>	오 마이 갓 
<sos>달대따 바깨지<sos>	잘됐다 밖에
<sos>수세점<sos>	소세지도
<sos>체윤이가 별ㄹ<sos>	서윤이가 별로
<sos>지윤이가<sos>	지윤이가 
<sos>운동하죠<sos>	운동하면 
<sos>여기 심하네<sos>	여기에 불빛
<sos>이거 자서 노님<sos>	이거 자석에 붙
<sos>우리 이모는 가는<sos>	우리 아쿠아리움 가
<sos>자석에 안 본 오ㅈ<sos>	자석에 안 붙는 
<sos>몰라<sos>	몰라 
<sos>두너<sos>	소나
<sos>여기 앞에서 타지<sos><sos>	여기 앞에서 다 같
<sos>모둠에서 한 명씨<sos>	모둠에서 한 명씩
<sos>그냥 여<sos>	그냥 여
<sos>너무<sos>	너 빨
<sos>왜 이렇게<sos>	왜 이렇게 
<sos>바로 하는데<sos>	바로 아프다고
<sos>오케라이<sos>	오페라의 
<sos>비싼 브랜드<sos>	비싼 브랜드
<sos>그래도 와인 왔자 저<sos>	그래도 와인 한 잔 
<sos>네가 좋아하는 가수<sos>	내가 좋아하는 가수 
